,id,title,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,neighborhood_id,rent_price,buy_price,house_type_id,is_new_development,is_renewal_needed,energy_certificate,has_parking,is_exterior,tipo,barrio_pm2,barrio,distr,e_certificate
0,21742,"Piso en venta en calle de Godella, 64","San Cristóbal, Madrid",64.0,60.0,2,1.0,3,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,471,85000,HouseType 1: Pisos,0,0,D,0,1,0.0,1.30889,San Cristóbal,Villaverde,4
1,21741,Piso en venta en calle de la del Manojo de Rosas,"Los Ángeles, Madrid",70.0,59.5,3,1.0,4,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,666,129900,HouseType 1: Pisos,0,1,en trámite,0,1,0.0,1.79668,Los Ángeles,Villaverde,0
2,21740,"Piso en venta en calle del Talco, 68","San Andrés, Madrid",94.0,54.0,2,2.0,1,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,722,144247,HouseType 1: Pisos,0,0,no indicado,0,1,0.0,1.61718,San Andrés,Villaverde,0
3,21739,Piso en venta en calle Pedro Jiménez,"San Andrés, Madrid",64.0,54.4,2,1.0,0,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,583,109900,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,1.61718,San Andrés,Villaverde,0
4,21738,Piso en venta en carretera de Villaverde a Vallecas,"Los Rosales, Madrid",108.0,90.0,2,2.0,4,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,1094,260000,HouseType 1: Pisos,0,0,en trámite,1,1,0.0,1.82779,Los Rosales,Villaverde,0
5,21737,Piso en venta en geologia,"San Andrés, Madrid",126.0,114.0,4,2.0,3,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,901,195000,HouseType 1: Pisos,0,0,en trámite,1,1,0.0,1.61718,San Andrés,Villaverde,0
6,21736,Piso en venta en avenida Real de Pinto,"San Andrés, Madrid",120.0,100.0,5,2.0,1,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,884,190000,HouseType 1: Pisos,0,0,F,1,1,0.0,1.61718,San Andrés,Villaverde,2
7,21735,Piso en venta en San Andrés,"Villaverde, Madrid",125.0,100.0,3,2.0,2,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,912,198500,HouseType 1: Pisos,0,0,no indicado,0,1,0.0,1.61718,San Andrés,Villaverde,0
9,21733,Piso en venta en calle de Martinez Oviol,"Los Rosales, Madrid",85.0,72.25,2,1.0,7,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,672,131400,HouseType 1: Pisos,0,1,en trámite,0,1,0.0,1.82779,Los Rosales,Villaverde,0
10,21732,Piso en venta en De la Plata - Villaverde,"San Andrés, Madrid",69.0,58.65,2,2.0,2,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,617,118000,HouseType 1: Pisos,0,1,en trámite,0,1,0.0,1.61718,San Andrés,Villaverde,0
